ID,Prob1
0, 0.59
1, 0.57
2, 0.31
3, 0.59
4, 0.59
5, 0.28
6, 0.42
7, 0.31
8, 0.28
9, 0.38
10, 0.43
11, 0.57
12, 0.59
13, 0.28
14, 0.34
15, 0.27
16, 0.59
17, 0.35
18, 0.45
19, 0.59
20, 0.32
21, 0.35
22, 0.54
23, 0.38
24, 0.39
25, 0.43
26, 0.48
27, 0.27
28, 0.36
29, 0.32
30, 0.59
31, 0.27
32, 0.58
33, 0.34
34, 0.23
35, 0.46
36, 0.31
37, 0.40
38, 0.35
39, 0.33
40, 0.31
41, 0.59
42, 0.48
43, 0.58
44, 0.38
45, 0.39
46, 0.38
47, 0.28
48, 0.59
49, 0.59
50, 0.55
51, 0.27
52, 0.41
53, 0.28
54, 0.51
55, 0.35
56, 0.24
57, 0.32
58, 0.39
59, 0.45
60, 0.51
61, 0.35
62, 0.29
63, 0.45
64, 0.27
65, 0.46
66, 0.33
67, 0.46
68, 0.27
69, 0.59
70, 0.35
71, 0.29
72, 0.37
73, 0.40
74, 0.53
75, 0.43
76, 0.32
77, 0.30
78, 0.34
79, 0.27
80, 0.29
81, 0.40
82, 0.59
83, 0.30
84, 0.49
85, 0.29
86, 0.31
87, 0.35
88, 0.31
89, 0.35
90, 0.59
91, 0.43
92, 0.36
93, 0.33
94, 0.30
95, 0.56
96, 0.37
97, 0.25
98, 0.28
99, 0.27
100, 0.44
101, 0.28
102, 0.46
103, 0.41
104, 0.23
105, 0.59
106, 0.29
107, 0.39
108, 0.27
109, 0.28
110, 0.27
111, 0.31
112, 0.59
113, 0.24
114, 0.35
115, 0.58
116, 0.59
117, 0.48
118, 0.30
119, 0.26
120, 0.54
121, 0.24
122, 0.15
123, 0.42
124, 0.41
125, 0.59
126, 0.41
127, 0.30
128, 0.27
129, 0.26
130, 0.59
131, 0.29
132, 0.30
133, 0.59
134, 0.45
135, 0.36
136, 0.35
137, 0.28
138, 0.19
139, 0.38
140, 0.43
141, 0.44
142, 0.34
143, 0.30
144, 0.38
145, 0.59
146, 0.59
147, 0.38
148, 0.28
149, 0.59
150, 0.30
151, 0.32
152, 0.36
153, 0.30
154, 0.39
